./vl805-000137ad.bin:     file format binary
Disassembly of section .data:
0x7ffffff8 <.data>:
0x7ffffff8:	0d 08             	ld r13,(r0)
0x80014eee:	00 01             	*unknown*
0x80014ef0:	9d 60             	mov r13,0x9
0x80014ef2:	ff f7 9d a0 ff f0 	vop63.1 HX(2,32),H(31,48)+r7,H(63,16)+r7
0x80014ef8:	b8 63             	add r8,0x1b
0x80014efa:	00 03             	ldm r0,pc,(sp++)
0x80014efc:	e0 c4 58 03       	div.vs.uu r0,r0,24
0x80014f00:	e0 a5             	*unknown*
0x80014f02:	68 03             	ldm gp-r0,pc,(sp++)
0x80014f04:	e0 c6 18 04       	subscale.hi r0,r0,gp<<7
0x80014f08:	d4 0e             	ldsh r4,(r13)
0x80014f0a:	28 00             	swi r8
0x80014f0c:	84 a2 ff a8       	ldb r4,(r21+255)
0x80014f10:	a8 8c 00 00       	addcmpbgt r8,r10,r0,0x80014f10
0x80014f14:	9c 60             	mov r12,0x9
0x80014f16:	00 01             	*unknown*
0x80014f18:	d4 0e             	ldsh r4,(r13)
0x80014f1a:	28 04             	ld r8,(sp+0x8)
0x80014f1c:	07 ff f5 88 d4 0e 	v32add HX(35++,0)+r6,VY(16,0++)+r0*,4820 REP r0 SETF IFN SACCH
0x80014f22:	30 68 84 8e 
0x80014f26:	00 6c             	btest r0,0x0
0x80014f28:	9c a0             	*unknown*
0x80014f2a:	ff 1f             	bf 0x80014f28
0x80014f2c:	18 c0 f7 ff       	mov.f.m gp,-9
0x80014f30:	84 6e             	bmask r4,0x8
0x80014f32:	00 64             	mul r0,0x0
0x80014f34:	e0 84 28 03       	addcmpbmi r0,r14,r0,0x80014d84
0x80014f38:	a8 c6 ff ff       	sub.f r8,pc,-32
0x80014f3c:	a8 84 00 60       	addcmpbmi r8,-6,r8,0x80014f3c
0x80014f40:	e0 63             	add r0,0x1e
0x80014f42:	30 03             	ldm r6-r22,pc,(sp++)
0x80014f44:	d4 0e             	ldsh r4,(r13)
0x80014f46:	20 6c             	btest r0,0x2
0x80014f48:	00 00             	bkpt
0x80014f4a:	00 26             	ld r0,(r0+0x18)
0x80014f4c:	d4 0e             	ldsh r4,(r13)
0x80014f4e:	18 64             	mul r8,0x1
0x80014f50:	a8 c8 f3 00       	fabs.ne r8,0x33
0x80014f54:	18 e0             	*unknown*
0x80014f56:	ff f7 84 86 00 00 	vop63.1 HX(26,0),H(0,0)+r7,H(0,0)
0x80014f5c:	a8 e7             	*unknown*
0x80014f5e:	83 ff 19 00 00 08 	vop48.1 H(0,0)+r10*,H(16++,48)+r3,H(0,0)+r14 REP8 SETF
0x80014f64:	e0 a4 38 03 
0x80014f68:	a9 08             	ld r9,(r10)
0x80014f6a:	04 00             	ei
0x80014f6c:	9e 02             	stm r0-sr,(--sp)
0x80014f6e:	ff 9c e0 a5       	bl 0x7d009b2e
0x80014f72:	40 04             	ld r0,(sp+0x10)
0x80014f74:	a8 6c             	btest r8,0xa
0x80014f76:	00 00             	bkpt
0x80014f78:	d4 06             	st r4,(sp+0x34)
0x80014f7a:	28 00             	swi r8
0x80014f7c:	07 ff f4 dd a8 90 	v32add VY(48,7)+r0,VY(9,0)+r0,H(40,16)+r1 REP r0 IFNN
0x80014f82:	00 00 84 a2 
0x80014f86:	ff a4             	*unknown*
0x80014f88:	9d 60             	mov r13,0x9
0x80014f8a:	ff f0 a4 c5 00 01 	vunkmem07 HY(22,0),HX(0,0)+r7,H(0,32)
0x80014f90:	e0 a5             	*unknown*
0x80014f92:	58 03             	ldm r16-r8,pc,(sp++)
0x80014f94:	a8 6c             	btest r8,0xa
0x80014f96:	00 00             	bkpt
0x80014f98:	d4 0e             	ldsh r4,(r13)
0x80014f9a:	28 08             	ld r8,(r2)
0x80014f9c:	18 a0 00 01       	ld.cs gp,(r0+r0<<2)
0x80014fa0:	a8 a5             	*unknown*
0x80014fa2:	3a 70             	bitset r10,0x3
0x80014fa4:	a8 90 00 00       	bl 0x80514fa4
0x80014fa8:	d8 05             	ld r8,(sp+0x74)
0x80014faa:	30 00             	swi r16
0x80014fac:	84 a2 ff a8       	ldb r4,(r21+255)
0x80014fb0:	07 ff f5 63 d4 0e 	v32add H(15++,48)+r0*,VY(16,8++)+r0,4820 REP r0 SETF IFN SACCH
0x80014fb6:	28 0c 84 8e 
0x80014fba:	00 6c             	btest r0,0x0
0x80014fbc:	9d a0             	*unknown*
0x80014fbe:	ff e3             	*unknown*
0x80014fc0:	18 a0             	*unknown*
0x80014fc2:	fb ff 84 6e 00 64 	vop63.1 H(58,48)+r8*,V(6,0++)+r3,40960 REP8
0x80014fc8:	e0 84 68 03 
0x80014fcc:	a8 a5             	*unknown*
0x80014fce:	ff ff a8 84 00 0c 	vop63.1 HX(18,0)+r6,HX(0++,32),40960 REP r0 SETF
0x80014fd4:	e0 63 28 03 
0x80014fd8:	d4 0e             	ldsh r4,(r13)
0x80014fda:	20 6c             	btest r0,0x2
0x80014fdc:	d4 0e             	ldsh r4,(r13)
0x80014fde:	18 64             	mul r8,0x1
0x80014fe0:	85 21             	ld r5,(r8+0x4)
0x80014fe2:	00 00             	bkpt
0x80014fe4:	84 41             	cmn r4,r8
0x80014fe6:	00 04             	ld r0,(sp)
0x80014fe8:	85 81 00 08       	addcmpbne r5,r8,r2,0x80014fe8
0x80014fec:	85 c1 00 0c       	btest.hi.m r1,r0
0x80014ff0:	86 01             	*unknown*
0x80014ff2:	00 10             	lea r0,(sp+0x0)
0x80014ff4:	86 41             	cmn r6,r8
0x80014ff6:	00 14             	lea r0,(sp+0x80)
0x80014ff8:	86 81 00 18       	addcmpbne r6,r8,r6,0x80014ff8
0x80014ffc:	86 c1 00 1c       	btest.hi.m r3,r0
0x80015000:	44 00             	b r4
0x80015002:	48 00             	b r8
0x80015004:	9c 21             	ld r12,(r9+0x4)
0x80015006:	04 b0 9c 21       	mov r4,8604
0x8001500a:	ff f4 d4 01 10 04 	v16testmag H(7,0),H(0,32)+r7,0x10
0x80015010:	9c 41             	cmn r12,r9
0x80015012:	00 0c             	ldb r0,(r0)
0x80015014:	d4 01             	swi 0x14
0x80015016:	48 00             	b r8
0x80015018:	d4 01             	swi 0x14
0x8001501a:	60 08             	ld r0,(r6)
0x8001501c:	a4 64             	mul r4,0xa
0x8001501e:	00 40             	mov r0,r0
0x80015020:	bc 03             	stm r6-r2,lr,(--sp)
0x80015022:	00 00             	bkpt
0x80015024:	10 00             	*unknown*
0x80015026:	00 30             	st r0,(r0+0x0)
0x80015028:	a9 84 00 00       	addcmpbmi r9,r10,r0,0x80015028
0x8001502c:	18 60             	mov r8,0x1
0x8001502e:	01 00             	nop
0x80015030:	9c c0 00 00       	mul.eq r28,r0,r0
0x80015034:	a8 83 c0 80       	addcmpbcc r8,r10,0x0,0x80014fb4
0x80015038:	a8 a3 c0 90       	stb r8,(r18+-1856)
0x8001503c:	d8 04             	ld r8,(sp+0x34)
0x8001503e:	30 00             	swi r16
0x80015040:	a8 83 c0 20       	addcmpbcc r8,r10,r8,0x800151c0
0x80015044:	d8 05             	ld r8,(sp+0x74)
0x80015046:	30 00             	swi r16
0x80015048:	9d 00             	switch r29
0x8001504a:	00 00             	bkpt
0x8001504c:	a8 a3 70 80       	stb r8,(r16+-1936)
0x80015050:	d8 04             	ld r8,(sp+0x34)
0x80015052:	30 00             	swi r16
0x80015054:	d8 05             	ld r8,(sp+0x74)
0x80015056:	40 00             	b r0
0x80015058:	a8 c3 70 90       	brev.eq.m r8,-16
0x8001505c:	18 e0             	*unknown*
0x8001505e:	00 01             	*unknown*
0x80015060:	a8 e7             	*unknown*
0x80015062:	39 d0             	*unknown*
0x80015064:	a8 83 70 20       	addcmpbcc r8,r10,r8,0x80015144
0x80015068:	84 a7             	*unknown*
0x8001506a:	00 00             	bkpt
0x8001506c:	d8 06             	st r8,(sp+0x34)
0x8001506e:	40 00             	b r0
0x80015070:	d8 04             	ld r8,(sp+0x34)
0x80015072:	40 00             	b r0
0x80015074:	19 00             	*unknown*
0x80015076:	bf ff a8 c3 c0 d0 	vmul32.uu HY(14++,0)+r0,HX(13++,41)+r2,V(0,16++)* REP r0 IFNC MAX r7
0x8001507c:	a9 08 ff ff 
0x80015080:	e0 85 40 03       	addcmpbpl r0,r14,r0,0x80014f00
0x80015084:	a8 a3 35 78       	stb r8,(r15+-1995)
0x80015088:	9c 60             	mov r12,0x9
0x8001508a:	00 00             	bkpt
0x8001508c:	d4 06             	st r4,(sp+0x34)
0x8001508e:	18 00             	*unknown*
0x80015090:	9c 60             	mov r12,0x9
0x80015092:	00 d4             	*unknown*
0x80015094:	d4 07             	st r4,(sp+0x74)
0x80015096:	20 00             	swi r0
0x80015098:	d4 05             	ld r4,(sp+0x74)
0x8001509a:	18 00             	*unknown*
0x8001509c:	9c 60             	mov r12,0x9
0x8001509e:	00 00             	bkpt
0x800150a0:	15 00             	*unknown*
0x800150a2:	00 00             	bkpt
0x800150a4:	9c 63             	add r12,0x19
0x800150a6:	00 01             	*unknown*
0x800150a8:	a4 63             	add r4,0x1a
0x800150aa:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x800150b0:	13 ff ff fc 
0x800150b4:	18 80 ef ff       	addcmpbeq r8,1,0x3f,0x80015092
0x800150b8:	9c 60             	mov r12,0x9
0x800150ba:	00 00             	bkpt
0x800150bc:	a8 a4             	*unknown*
0x800150be:	02 00             	sleep
0x800150c0:	18 80 01 00       	addcmpbeq r8,r1,r0,0x800150c2
0x800150c4:	a8 84 35 7c       	addcmpbmi r8,-6,r15,0x8001512e
0x800150c8:	d4 04             	ld r4,(sp+0x34)
0x800150ca:	28 00             	swi r8
0x800150cc:	15 00             	*unknown*
0x800150ce:	00 00             	bkpt
0x800150d0:	9c 63             	add r12,0x19
0x800150d2:	00 01             	*unknown*
0x800150d4:	a4 63             	add r4,0x1a
0x800150d6:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x800150dc:	13 ff ff fc 
0x800150e0:	15 00             	*unknown*
0x800150e2:	00 00             	bkpt
0x800150e4:	a4 6c             	btest r4,0xa
0x800150e6:	01 80 bc 03       	addcmpbeq r1,r0,r0,0x8001505e
0x800150ea:	00 00             	bkpt
0x800150ec:	10 00             	*unknown*
0x800150ee:	00 50             	bitset r0,r0
0x800150f0:	a4 6c             	btest r4,0xa
0x800150f2:	02 00             	sleep
0x800150f4:	18 a0 01 00       	ld.eq gp,(r0+r1<<2)
0x800150f8:	18 60             	mov r8,0x1
0x800150fa:	00 01             	*unknown*
0x800150fc:	a8 85 38 00       	addcmpbpl r8,r10,r0,0x8001516c
0x80015100:	d4 04             	ld r4,(sp+0x34)
0x80015102:	18 00             	*unknown*
0x80015104:	15 00             	*unknown*
0x80015106:	00 00             	bkpt
0x80015108:	15 00             	*unknown*
0x8001510a:	00 00             	bkpt
0x8001510c:	15 00             	*unknown*
0x8001510e:	00 00             	bkpt
0x80015110:	15 00             	*unknown*
0x80015112:	00 00             	bkpt
0x80015114:	15 00             	*unknown*
0x80015116:	00 00             	bkpt
0x80015118:	15 00             	*unknown*
0x8001511a:	00 00             	bkpt
0x8001511c:	84 64             	mul r4,0x8
0x8001511e:	00 00             	bkpt
0x80015120:	18 c0 00 01       	mov.cs gp,r0
0x80015124:	e0 63             	add r0,0x1e
0x80015126:	30 03             	ldm r6-r22,pc,(sp++)
0x80015128:	bc 23             	ld r12,(r11+0xc)
0x8001512a:	00 00             	bkpt
0x8001512c:	13 ff ff fc 15 00 	v32addc -,-,H(21,0)+r6 REP8 IFN
0x80015132:	00 00 18 80 
0x80015136:	00 05             	ld r0,(sp+0x40)
0x80015138:	a8 a5             	*unknown*
0x8001513a:	35 78             	signext r5,0x3
0x8001513c:	a8 84 10 00       	addcmpbmi r8,r10,r0,0x8001515c
0x80015140:	d4 05             	ld r4,(sp+0x74)
0x80015142:	20 00             	swi r0
0x80015144:	15 00             	*unknown*
0x80015146:	00 00             	bkpt
0x80015148:	9c 63             	add r12,0x19
0x8001514a:	00 01             	*unknown*
0x8001514c:	a4 63             	add r4,0x1a
0x8001514e:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x80015154:	13 ff ff fc 
0x80015158:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8001515a
0x8001515c:	9c a0 00 5c       	ldb.hi r28,(r11+r0)
0x80015160:	a8 84 35 7c       	addcmpbmi r8,-6,r15,0x800151ca
0x80015164:	9c 60             	mov r12,0x9
0x80015166:	00 00             	bkpt
0x80015168:	d4 04             	ld r4,(sp+0x34)
0x8001516a:	28 00             	swi r8
0x8001516c:	15 00             	*unknown*
0x8001516e:	00 00             	bkpt
0x80015170:	9c 63             	add r12,0x19
0x80015172:	00 01             	*unknown*
0x80015174:	a4 63             	add r4,0x1a
0x80015176:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x8001517c:	13 ff ff fc 
0x80015180:	18 80 00 05       	addcmpbeq r8,r1,r1,0x80015380
0x80015184:	9c 60             	mov r12,0x9
0x80015186:	00 00             	bkpt
0x80015188:	a8 a4             	*unknown*
0x8001518a:	10 00             	*unknown*
0x8001518c:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8001518e
0x80015190:	a8 84 35 78       	addcmpbmi r8,-6,r14,0x800151fa
0x80015194:	d4 04             	ld r4,(sp+0x34)
0x80015196:	28 00             	swi r8
0x80015198:	15 00             	*unknown*
0x8001519a:	00 00             	bkpt
0x8001519c:	9c 63             	add r12,0x19
0x8001519e:	00 01             	*unknown*
0x800151a0:	a4 63             	add r4,0x1a
0x800151a2:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x800151a8:	13 ff ff fc 
0x800151ac:	18 80 01 00       	addcmpbeq r8,r1,r0,0x800151ae
0x800151b0:	9c a0 00 4c       	ldb.hi r28,(r9+r0)
0x800151b4:	a8 84 35 7c       	addcmpbmi r8,-6,r15,0x8001521e
0x800151b8:	9c 60             	mov r12,0x9
0x800151ba:	00 00             	bkpt
0x800151bc:	d4 04             	ld r4,(sp+0x34)
0x800151be:	28 00             	swi r8
0x800151c0:	15 00             	*unknown*
0x800151c2:	00 00             	bkpt
0x800151c4:	9c 63             	add r12,0x19
0x800151c6:	00 01             	*unknown*
0x800151c8:	a4 63             	add r4,0x1a
0x800151ca:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x800151d0:	13 ff ff fc 
0x800151d4:	15 00             	*unknown*
0x800151d6:	00 00             	bkpt
0x800151d8:	07 ff cf 66 15 00 	v32add H(27,48)+r0,V(48,16)+r0,H(21,0)+r6 REP r0 IFNZ
0x800151de:	00 00 18 60 
0x800151e2:	01 00             	nop
0x800151e4:	9d 00             	switch r29
0x800151e6:	00 00             	bkpt
0x800151e8:	a8 a3 38 00       	stb r8,(r0+-1992)
0x800151ec:	18 60             	mov r8,0x1
0x800151ee:	00 01             	*unknown*
0x800151f0:	a8 63             	add r8,0x1a
0x800151f2:	39 cc             	*unknown*
0x800151f4:	18 c0 00 02       	mov.mi gp,r0
0x800151f8:	d8 03             	stm r16-r8,lr,(--sp)
0x800151fa:	40 00             	b r0
0x800151fc:	a8 85 00 00       	addcmpbpl r8,r10,r0,0x800151fc
0x80015200:	84 65             	mul r4,0x18
0x80015202:	00 00             	bkpt
0x80015204:	e0 63             	add r0,0x1e
0x80015206:	30 04             	ld r0,(sp+0xc)
0x80015208:	d4 05             	ld r4,(sp+0x74)
0x8001520a:	18 00             	*unknown*
0x8001520c:	84 64             	mul r4,0x8
0x8001520e:	00 00             	bkpt
0x80015210:	a4 63             	add r4,0x1a
0x80015212:	00 01             	*unknown*
0x80015214:	bc 23             	ld r12,(r11+0xc)
0x80015216:	00 00             	bkpt
0x80015218:	13 ff ff fd 15 00 	v32addc -,-,H(21++,0)+r1* REP8 IFNC MAX r4
0x8001521e:	00 00 07 ff 
0x80015222:	f3 4f             	max r3,r15
0x80015224:	15 00             	*unknown*
0x80015226:	00 00             	bkpt
0x80015228:	a4 6c             	btest r4,0xa
0x8001522a:	02 00             	sleep
0x8001522c:	bc 03             	stm r6-r2,lr,(--sp)
0x8001522e:	00 00             	bkpt
0x80015230:	0c 00             	*unknown*
0x80015232:	00 4b             	rsub r0,r0
0x80015234:	15 00             	*unknown*
0x80015236:	00 00             	bkpt
0x80015238:	a4 6c             	btest r4,0xa
0x8001523a:	04 00             	ei
0x8001523c:	bc 03             	stm r6-r2,lr,(--sp)
0x8001523e:	00 00             	bkpt
0x80015240:	10 00             	*unknown*
0x80015242:	00 10             	lea r0,(sp+0x0)
0x80015244:	a4 8c 00 20       	addcmpbgt r4,r10,r8,0x80015244
0x80015248:	18 80 01 00       	addcmpbeq r8,r1,r0,0x8001524a
0x8001524c:	a8 64             	mul r8,0xa
0x8001524e:	30 20             	ld r0,(r3+0x0)
0x80015250:	8c 63             	add r12,0x18
0x80015252:	00 00             	bkpt
0x80015254:	a4 63             	add r4,0x1a
0x80015256:	00 01             	*unknown*
0x80015258:	bc 23             	ld r12,(r11+0xc)
0x8001525a:	00 01             	*unknown*
0x8001525c:	0c 00             	*unknown*
0x8001525e:	00 0e             	ldsh r0,(r0)
0x80015260:	a8 84 38 90       	addcmpbmi r8,r10,0x10,0x800152d0
0x80015264:	07 ff e9 f9 15 00 	v32add -,HX(16,32)+r0,H(21,0)+r6 REP r0 IFNZ
0x8001526a:	00 00 18 60 
0x8001526e:	00 01             	*unknown*
0x80015270:	a8 63             	add r8,0x1a
0x80015272:	39 cc             	*unknown*
0x80015274:	9d 00             	switch r29
0x80015276:	00 01             	*unknown*
0x80015278:	d8 03             	stm r16-r8,lr,(--sp)
0x8001527a:	40 00             	b r0
0x8001527c:	a4 8c 00 20       	addcmpbgt r4,r10,r8,0x8001527c
0x80015280:	bc 04             	ld r12,(sp+0x2c)
0x80015282:	00 00             	bkpt
0x80015284:	10 00             	*unknown*
0x80015286:	00 3a             	st r0,(r0+0x28)
0x80015288:	19 80 01 00       	addcmpbeq r9,r1,r0,0x8001528a
0x8001528c:	00 00             	bkpt
0x8001528e:	00 09             	st r0,(r0)
0x80015290:	15 00             	*unknown*
0x80015292:	00 00             	bkpt
0x80015294:	8c 64             	mul r12,0x8
0x80015296:	00 00             	bkpt
0x80015298:	a8 63             	add r8,0x1a
0x8001529a:	00 10             	lea r0,(sp+0x0)
0x8001529c:	d8 04             	ld r8,(sp+0x34)
0x8001529e:	18 00             	*unknown*
0x800152a0:	a4 8c 00 20       	addcmpbgt r4,r10,r8,0x800152a0
0x800152a4:	bc 04             	ld r12,(sp+0x2c)
0x800152a6:	00 00             	bkpt
0x800152a8:	10 00             	*unknown*
0x800152aa:	00 31             	st r0,(r0+0x4)
0x800152ac:	19 80 01 00       	addcmpbeq r9,r1,r0,0x800152ae
0x800152b0:	18 e0             	*unknown*
0x800152b2:	00 01             	*unknown*
0x800152b4:	a8 e7             	*unknown*
0x800152b6:	39 d0             	*unknown*
0x800152b8:	a8 6c             	btest r8,0xa
0x800152ba:	36 20             	ld r6,(r3+0x0)
0x800152bc:	18 a0 df ff       	ld.f gp,(pc+0x1f)
0x800152c0:	84 63             	add r4,0x18
0x800152c2:	00 00             	bkpt
0x800152c4:	84 87 00 00       	addcmpbvc r4,r8,r0,0x800152c4
0x800152c8:	a4 63             	add r4,0x1a
0x800152ca:	00 01             	*unknown*
0x800152cc:	a8 a5             	*unknown*
0x800152ce:	ff ff b8 63 00 1d 	vop63.1 H(14,48)+r12*,-,41216 REP r0 SETF
0x800152d4:	e0 c4 28 03 
0x800152d8:	a8 8c 30 58       	addcmpbgt r8,-6,r6,0x80015338
0x800152dc:	84 a4 00 00       	ldb.eq r4,(--r0)
0x800152e0:	e0 86 18 04       	addcmpbvs r0,r14,r1,0x80015310
0x800152e4:	18 60             	mov r8,0x1
0x800152e6:	00 01             	*unknown*
0x800152e8:	a8 63             	add r8,0x1a
0x800152ea:	39 50             	bitset r9,r3
0x800152ec:	18 c0 40 00       	mov.eq gp,0
0x800152f0:	d8 03             	stm r16-r8,lr,(--sp)
0x800152f2:	28 5d             	brev r8,r2
0x800152f4:	e0 64             	mul r0,0xe
0x800152f6:	30 04             	ld r0,(sp+0xc)
0x800152f8:	07 ff e7 5e d4 07 	v32add V(48,43)+r0,VX(48,8)+r0*,41940 REP r0 IFNN UACCH
0x800152fe:	18 00 a8 ac 
0x80015302:	35 78             	signext r5,0x3
0x80015304:	9c 80 00 d4       	addcmpbeq r12,-7,0x14,0x80015304
0x80015308:	9c 60             	mov r12,0x9
0x8001530a:	00 00             	bkpt
0x8001530c:	d4 05             	ld r4,(sp+0x74)
0x8001530e:	20 00             	swi r0
0x80015310:	15 00             	*unknown*
0x80015312:	00 00             	bkpt
0x80015314:	9c 63             	add r12,0x19
0x80015316:	00 01             	*unknown*
0x80015318:	a4 63             	add r4,0x1a
0x8001531a:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x80015320:	13 ff ff fc 
0x80015324:	18 80 ef ff       	addcmpbeq r8,1,0x3f,0x80015302
0x80015328:	9c 60             	mov r12,0x9
0x8001532a:	00 00             	bkpt
0x8001532c:	a8 a4             	*unknown*
0x8001532e:	02 40             	mov r2,r0
0x80015330:	18 80 01 00       	addcmpbeq r8,r1,r0,0x80015332
0x80015334:	a8 84 35 7c       	addcmpbmi r8,-6,r15,0x8001539e
0x80015338:	d4 04             	ld r4,(sp+0x34)
0x8001533a:	28 00             	swi r8
0x8001533c:	15 00             	*unknown*
0x8001533e:	00 00             	bkpt
0x80015340:	9c 63             	add r12,0x19
0x80015342:	00 01             	*unknown*
0x80015344:	a4 63             	add r4,0x1a
0x80015346:	00 ff bc 23 00 14 	v32add H(14++,16)*,-,64512 IFNC max6 r3
0x8001534c:	13 ff ff fc 
0x80015350:	15 00             	*unknown*
0x80015352:	00 00             	bkpt
0x80015354:	00 00             	bkpt
0x80015356:	00 06             	st r0,(sp)
0x80015358:	15 00             	*unknown*
0x8001535a:	00 00             	bkpt
0x8001535c:	07 ff ea 53 15 00 	v32add V(0,47)+r0,HX(32,32)+r0,H(21++,0)+r0* REP r0 IFNC MAX r4
0x80015362:	00 00 03 ff 
0x80015366:	ff b6 a4 6c       	add pc,r23,27812
0x8001536a:	04 00             	ei
0x8001536c:	85 21             	ld r5,(r8+0x4)
0x8001536e:	00 00             	bkpt
0x80015370:	84 41             	cmn r4,r8
0x80015372:	00 04             	ld r0,(sp)
0x80015374:	85 81 00 08       	addcmpbne r5,r8,r2,0x80015374
0x80015378:	44 00             	b r4
0x8001537a:	48 00             	b r8
0x8001537c:	9c 21             	ld r12,(r9+0x4)
0x8001537e:	00 0c             	ldb r0,(r0)
0x80015380:	9c 21             	ld r12,(r9+0x4)
0x80015382:	ff d0             	*unknown*
0x80015384:	d4 01             	swi 0x14
0x80015386:	10 04             	ld r0,(sp+0x4)
0x80015388:	9c 41             	cmn r12,r9
0x8001538a:	00 30             	st r0,(r0+0x0)
0x8001538c:	d4 01             	swi 0x14
0x8001538e:	48 00             	b r8
0x80015390:	d4 01             	swi 0x14
0x80015392:	60 08             	ld r0,(r6)
0x80015394:	d4 01             	swi 0x14
0x80015396:	70 0c             	ldb r0,(r7)
0x80015398:	d4 01             	swi 0x14
0x8001539a:	80 10             	lea r0,(sp+0x10)
0x8001539c:	d4 01             	swi 0x14
0x8001539e:	90 14             	lea r16,(sp+0x90)
0x800153a0:	d4 01             	swi 0x14
0x800153a2:	a0 18             	bne 0x800153e2
0x800153a4:	d4 01             	swi 0x14
0x800153a6:	b0 1c             	bls 0x80015406
0x800153a8:	d4 01             	swi 0x14
0x800153aa:	c0 20             	ld r0,(r12+0x0)
0x800153ac:	d4 01             	swi 0x14
0x800153ae:	d0 24             	ld r0,(r13+0x10)
0x800153b0:	d4 01             	swi 0x14
0x800153b2:	e0 28             	ld r0,(r14+0x20)
0x800153b4:	d4 01             	swi 0x14
0x800153b6:	f0 2c             	ld r0,(r15+0x30)
0x800153b8:	1b c0 00 01       	mov.cs r27,r0
0x800153bc:	ab de             	*unknown*
0x800153be:	3a e8 aa 85 00 00 	cmn lr,0x85aa
0x800153c4:	84 be             	*unknown*
0x800153c6:	00 c4             	*unknown*
0x800153c8:	a6 43             	bic r6,r10
0x800153ca:	00 ff 9d c5 00 80 	v32add HY(22,0)+r0*,V(24,54++)+r2,H(0,0)+r0 IFNC MAX r4
0x800153d0:	a6 04 00 ff 
0x800153d4:	84 6e             	bmask r4,0x8
0x800153d6:	00 00             	bkpt
0x800153d8:	9c 80 ff fe       	addcmpbeq r12,-7,0x3e,0x800153d6
0x800153dc:	aa c6 00 00       	subscale.eq r10,r0,r0<<5
0x800153e0:	e0 63             	add r0,0x1e
0x800153e2:	20 03             	ldm r6,pc,(sp++)
0x800153e4:	a7 07             	st r7,(sp+0x68)
0x800153e6:	00 ff d4 0e 18 00 	v32add H(59++,0)+r6*,V(0,36)+r10,H(24,0)+r0
0x800153ec:	84 6e 00 00 
0x800153f0:	a4 63             	add r4,0x1a
0x800153f2:	01 00             	nop
0x800153f4:	bc 23             	ld r12,(r11+0xc)
0x800153f6:	00 00             	bkpt
0x800153f8:	13 ff ff fd 18 80 	v32addc -,-,H(24,0)+r10* REP8 IFN
0x800153fe:	01 00 a9 83 
0x80015402:	00 00             	bkpt
0x80015404:	ab 84 c1 1c       	addcmpbmi r11,r10,r7,0x80015586
0x80015408:	00 00             	bkpt
0x8001540a:	00 0b             	sth r0,(r0)
0x8001540c:	ab 44             	mul r11,r10
0x8001540e:	71 1c             	bhi 0x800153f0
0x80015410:	0c 00             	*unknown*
0x80015412:	00 24             	ld r0,(r0+0x10)
0x80015414:	15 00             	*unknown*
0x80015416:	00 00             	bkpt
0x80015418:	84 7a             	lsr r4,0x8
0x8001541a:	00 00             	bkpt
0x8001541c:	a8 63             	add r8,0x1a
0x8001541e:	02 00             	sleep
0x80015420:	d4 1a             	bpl 0x800153c8
0x80015422:	18 00             	*unknown*
0x80015424:	9d 8c 00 01       	addcmpbgt r13,r9,r0,0x80015624
0x80015428:	e4 76             	add r4,0x70
0x8001542a:	60 00             	bl r0
0x8001542c:	0c 00             	*unknown*
0x8001542e:	00 14             	lea r0,(sp+0x80)
0x80015430:	15 00             	*unknown*
0x80015432:	00 00             	bkpt
0x80015434:	a8 72             	bitclear r8,0xa
0x80015436:	00 00             	bkpt
0x80015438:	a8 90 00 00       	bl 0x80515438
0x8001543c:	07 ff da 00 a8 b4 	v32add H(3,0)+r0,H(43,48)+r0,37032 REP r0 IFNZ CLRA SACC
0x80015442:	00 00 a4 6b 
0x80015446:	01 00             	nop
0x80015448:	a4 8b 02 00       	addcmpblt r4,r10,r0,0x8001544c
0x8001544c:	bc 23             	ld r12,(r11+0xc)
0x8001544e:	00 00             	bkpt
0x80015450:	10 00             	*unknown*
0x80015452:	00 0b             	sth r0,(r0)
0x80015454:	a4 ab 04 00       	stb r4,(r0+4)
0x80015458:	bc 04             	ld r12,(sp+0x2c)
0x8001545a:	00 00             	bkpt
0x8001545c:	0f ff ff ed bc 30 	v32adds -,-,H(60,16) REP r0 max4 r2
0x80015462:	00 04 bc 18 
0x80015466:	00 00             	bkpt
0x80015468:	10 00             	*unknown*
0x8001546a:	00 05             	ld r0,(sp+0x40)
0x8001546c:	bc 05             	ld r12,(sp+0x6c)
0x8001546e:	00 00             	bkpt
0x80015470:	0f ff ff ee 9d 8c 	v32adds -,-,29853 REP r0 SETF IFN UACCH
0x80015476:	00 01 9d 8c 
0x8001547a:	ff ff 94 7e 02 54 	vop63.1 V(48,58)+r0,V(5,44++)+r14*,2 REP r0
0x80015480:	bc 03 00 00 
0x80015484:	10 00             	*unknown*
